연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2017,12,읍면동,경기도 구리시 교문1동,17542,992,1474,2382,2433,2897,3443,2160,1259,411,69,22,8975,520,749,1275,1314,1512,1804,1040,581,153,19,8,8567,472,725,1107,1119,1385,1639,1120,678,258,50,14
2017,12,읍면동,경기도 구리시 교문2동,23966,2161,3310,3188,2899,4715,3939,2148,1112,440,48,6,11632,1067,1693,1637,1331,2198,1985,1054,495,161,10,1,12334,1094,1617,1551,1568,2517,1954,1094,617,279,38,5
2017,12,읍면동,경기도 구리시 동구동,40954,3871,5110,5791,5432,7697,7064,3230,1915,741,96,7,20217,1998,2658,2993,2660,3633,3548,1649,785,271,20,2,20737,1873,2452,2798,2772,4064,3516,1581,1130,470,76,5
2017,12,읍면동,경기도 구리시 수택1동,21847,1274,1939,3380,2896,3460,4413,2612,1332,467,67,7,10855,687,990,1711,1514,1703,2202,1313,567,153,13,2,10992,587,949,1669,1382,1757,2211,1299,765,314,54,5
2017,12,읍면동,경기도 구리시 수택2동,25960,1530,2585,4051,3383,4265,4977,2943,1569,575,72,10,12988,794,1369,2097,1814,2119,2497,1417,681,185,12,3,12972,736,1216,1954,1569,2146,2480,1526,888,390,60,7
2017,12,읍면동,경기도 구리시 수택3동,23399,2161,2803,3054,3429,4811,3712,1864,1094,408,58,5,11812,1089,1511,1602,1677,2392,1949,951,477,149,13,2,11587,1072,1292,1452,1752,2419,1763,913,617,259,45,3
2017,12,읍면동,경기도 구리시 인창동,24806,2264,2730,3476,3449,4603,4230,2163,1354,469,62,6,12259,1175,1404,1764,1659,2234,2157,1068,602,172,21,3,12547,1089,1326,1712,1790,2369,2073,1095,752,297,41,3
2017,12,시군,경기도 군포시 ,281205,26028,30647,38822,42904,49179,47465,25441,13485,6287,897,50,139692,13363,15818,20085,21897,24083,23466,12736,5802,2182,247,13,141513,12665,14829,18737,21007,25096,23999,12705,7683,4105,650,37
2017,12,읍면동,경기도 군포시 광정동,26615,2327,3295,3605,3690,4989,4247,2185,1272,863,135,7,12936,1210,1699,1826,1819,2388,2093,1088,495,284,32,2,13679,1117,1596,1779,1871,2601,2154,1097,777,579,103,5
2017,12,읍면동,경기도 군포시 군포1동,34307,2547,3276,5126,5040,5816,6406,3648,1695,647,97,9,18001,1316,1751,2793,2858,3018,3337,1921,762,222,20,3,16306,1231,1525,2333,2182,2798,3069,1727,933,425,77,6
2017,12,읍면동,경기도 군포시 군포2동,56756,6324,6811,7793,8671,10122,9420,4484,2118,858,145,10,28299,3302,3424,4031,4333,4928,4701,2264,985,293,36,2,28457,3022,3387,3762,4338,5194,4719,2220,1133,565,109,8
2017,12,읍면동,경기도 군포시 궁내동,22209,2298,3530,2686,2495,4848,3346,1486,936,507,76,1,10817,1204,1789,1391,1135,2243,1715,739,384,188,29,0,11392,1094,1741,1295,1360,2605,1631,747,552,319,47,1
2017,12,읍면동,경기도 군포시 금정동,19010,1170,1537,3018,2801,3060,3740,2298,991,346,42,7,9796,602,797,1568,1556,1641,1870,1196,454,98,11,3,9214,568,740,1450,1245,1419,1870,1102,537,248,31,4
2017,12,읍면동,경기도 군포시 대야동,10026,996,1051,1252,1316,1837,1743,1016,544,244,24,3,5125,513,552,692,667,920,894,530,256,89,11,1,4901,483,499,560,649,917,849,486,288,155,13,2
2017,12,읍면동,경기도 군포시 산본1동,18397,1110,1254,2865,2886,2623,3577,2247,1229,521,79,6,9185,548,654,1536,1618,1340,1692,1081,543,151,22,0,9212,562,600,1329,1268,1283,1885,1166,686,370,57,6
